根据startDate和endDate计算workingDays, calculateWorkingDays
计算 horizontal scroll bar 的 slider 在 horizontal range 内的 horizontal range, compute horizontal scroll extent
image 的 width（以像素为单位）, get width
访问 type parameter element, visitTypeParameter
设置低音增强 effect 的 strength, set strength
将此 ulocale object 转换为 locale, to locale
释放 allocated resources, release
实际上这是为了与 locale 兼容 因为 ulocale 是不可变的 没有理由 clone 它, clone
格式化当前 value 的 string representation, format
要求该 view 的 sub view 之一测量自身 同时考虑该 view 的 measurement specification requirements, measure child
增加 index 一旦到达末尾就回零, next index
获取wi - fi enabled state, get wifi state
默认 implementation 在可编辑 text 的当前 selection position 周围执行 delete, delete surrounding text
确保每个 field 中的 value 都在 range 内, normalize
获取长字母数字格式的当前注册 operator name, get operator alpha long
将 file 打印到 logcat 以进行 debugging 的 utility method, print file to logcat
返回是否显示 full screen extract view, is extract view shown
已过时 getAudioClip
返回此 view 是否有 overlapping rendering, has overlapping rendering
返回显示的 star 数量, get num stars
设置所需的 surface pixel format, set format
使用指定的最小和最大 digit 数 format number, zero padding number
将 time 调用到valuesmsec 通过调用int systemclock.uptime millis将msec设置为now的值, time to values
将 array b len字节按顺序写入 output stream, write
获取最小值和最大值之间的 total item count, get count
指示此 parcel file descriptor 是否可以 communicate 并检测 remote errors/crashes, can detect errors
检索有关 GPS engine 当前状态的 information, get gps status
一个 flag 指示此 property 是否实际在其 element 的start-tag中指定, isSpecified
根据给定的 properties 绘制CSS box, paint
以 user-defined 单位返回 key 和 value 的 entry size, size of
将传入 call 附加到此 call object, attach call
设置 interpolator 的 repeat count（可能是小数） 以及 interpolator 是否应 mirror 其 repeat 次数, set repeat mirror
应用程序和 license server 之间发生 key request/response exchange 以获取或释放用于解密加密内容的 key, get key request
向 wi - fi framework 注册 application, initialize
在给定 property 上关闭此 collection, close over
指示此 action 是否有可激活 edit 的 view 例如, has editable activator view
当已知对于尚未由 error 终止的 subscription 不会发生其他 subscriber method 调用时调用的 method, onComplete
返回以前缀开头的下一个 tree element 的 tree path, getNextMatch
以给定 locale 的 language 返回此 calendar 的 name, get display name
ICC profile color space type signature：'4CLR', icSigSpace4CLR
使用提供的 class file 重新定义提供的 class set, redefineClasses
ICC profile tag signature：'A2B2', icSigAToB2Tag
如果 user 已修改当前 drop gesture 则调用, dropActionChanged
返回用于处理来自 target application 的 events 的 global key event.dispatcher state, get key dispatcher state
读取 stream 中的下一个 property 并将其作为Java编程语言中的 java.math.BigDecimal object 返回, readBigDecimal
检索与该 object 关联的 trigger data, get data
删除先前注册的 ui observer, remove watcher
设置更改前的 text, set before text
过滤 image consumer interface 中image complete方法提供的 information, imageComplete
当 custom transition 与 fragment 一起使用时 当弹出返回堆栈时附加或分离该 fragment 时 将调用 exit transition callback, set exit shared element callback
用于在给定 context directionality 的情况下创建 bidi formatter instance 的 factory, get instance
获取此 state object 的一系列 extra content, get extras
注册一个 phone account 供系统使用 该 account 将存储在 device encrypted storage 中, register phone account
设置切换 button 的 pressed state, setPressed
根据指定 parcel 中存储的 data 设置点的 coordinates, read from parcel
返回一个可迭代对象 它以 breadth-first 行级顺序遍历的方式迭代所提供的 view 及其 sub-views, breadth first view traversal
为此 window 设置新的 root pane object, setRootPane
将单个 domain name label 转换为其 unicode 形式以供 human readable display, label to unicode
将此 path 设置为将 op 应用于两个指定 paths 的 result, op
向 array map 添加新 value, put
测试 parameter object 是否等于此 collation element iterator, equals
在 edit 被 canceled 时调用, getAutoResizeMode
等待现有的instrumentation.activity monitor 被命中, wait for monitor
设置 pending intent 和 remote input 这将传达对此 notification 的 reply, set reply action
如果您根据 bounds 而变化 请在您的 sub class 中覆盖它以更改外观, on bounds change
处理 scroll 以响应“向上/向下翻页”快捷键, page scroll
表示 expansion 是否开启, is expansion enabled
设置 user 可以选择的 string value list 类似于设置 choice value string, set choice values
设置显示 root handles property 的 value 该 property 指定是否应显示 node handles, setShowsRootHandles
获取在当前 toolbar configuration 中 bar 左侧使用的 content inset, get current content inset left
调用 listener 定期通知它 playback head 已达到 notification period 的倍数, on periodic notification
返回BinaryOperator 它根据指定的Comparator返回两个 elements 中较小的Comparator, minBy
设置 toolbar color, set toolbar color
从 intent 中检索扩展 data, get parcelable array list extra
运行 layout animation, start layout animation
用于确定进行此调用的 user 是否会受到 remote teleportation 的影响, is user ag oat
在指定 bank 中设置给定 integer 的 request data array element, setElem
返回该 target 对 image 中 color 总体的重要性 weight, get population weight
注册一个 callback 当此 list 中任何 item 的 selected state 发生变化时调用, set on tab changed listener
返回规范 system time zone id 或给定时区 id 的规范化 custom time zone id, get canonical id
创建egl context 并返回它, create egl context
设置 prefix 和 uri 绑定的当前 namespace context, setNamespaceContext
始终返回 layer type hardware, get layer type
设置 button 的 keyboard mnemonic（快捷键或加速键）, setMnemonic
获取替代 subject match, get alt subject match
TreeWalker当前所在的 node, getCurrentNode
返回应用于 button drawable 的 tint, get button tint list
如果在适当版本的 platform 上运行 请调用fragment.set菜单 visibility boolean, set menu visibility
获取从当前连接的 media browser compatibility 发送的 root hints, get browser root hints
获取这个 era 的 text representation, getDisplayName
指示此 route 是否为 default route 即没有指定 destination, is default route
设置辅助 action object adapter, set secondary actions adapter
