Functional Description,Method Name
将视图与其父视图分离,detach view from parent
正在解析的输入源。,getInput
手机是否支持tty模式,is tty mode supported
检查是否允许删除此帐户,get account removal allowed
返回获取内存统计字符串支持的内存统计信息的名称/值的映射,get memory stats
返回此目标的标题以显示给用户,get title
获取此日期的年表。,getChronology
将 RGB 组件转换为其 CIE 实验室代表性组件,rgbt o lab
java方法的兼容性覆盖，委托给java.lang.character.is java标识符开始,is java identifier start
通知所有注册的观察者，先前位于起始位置的项目计数项目已从数据集中删除,notify item range removed
卫星和接收器之间的完整载波周期数,get carrier cycles
将表示十六进制数字的字符转换为整数,decode hex digit
返回构造该对象的区域设置,get ul ocale
设置此视口的边界,reshape
返回当前名称空间上下文。,getNamespaceContext
恢复此适配器之前保存的状态,restore state
将 char 数组值插入到该包的映射中，替换给定键的任何现有值,put char array
当拖动状态改变时调用,on drag state changed
返回横向的新媒体尺寸实例，即高度是较小的尺寸,as landscape
返回默认订阅的认证响应,get icc authentication
返回指定标签的值，如果图像文件中没有该标签，则返回 null,get attribute
获取适配器中某个位置的视图持有者,get item view holder
返回与以 m 开头的特定资源 id 关联的颜色，返回的颜色将针对指定上下文的主题设置样式。,get color
key event.callback.on key down 的默认实现：如果视图已启用且可单击，则在释放键码 dpad center 或键码 Enter 时执行视图按下,on key down
为给定的布局管理器和方向创建方向助手,create orientation helper
设置当片段被移除、隐藏或分离（不弹出返回堆栈时）时将用于将视图移出场景的过渡,set exit transition
返回创建或比较子格式时使用的区域设置,get locale
完成此活动，并尝试完成当前任务中紧邻其下方的具有相同亲和力的所有活动,finish affinity
返回给定子视图在其父视图中的右边缘，由任何应用的项目装饰偏移,get decorated right
"设置 dst = minsrc + dst , 1.0",for each add
此方法已被弃用。在匹配视图后使用 openint 和执行。该方法将在下一个版本中删除,close drawer
返回给定资源标识符的包名称,get resource package name
参见kill2,kill
使用 url 和内容配置猜测下载的规范文件名,guess file name
设置此视图相对于其父视图的正确位置,set right
"返回瓦片网格相对于原点的X偏移量，例如，瓦片0,0位置的X坐标",getTileGridXoFfset
返回当前与该包关联的类加载器,get class loader
跟踪单元格内容的变化,editingStopped
指定可绘制的色调混合模式,set tint mode
参见readv2,readv
设置循环点和循环计数,set loop points
检查捆绑包中是否只有以下类型的值：integer long boolean float double string account null,validate sync extras bundle
设置路由的演示显示 ID，如果没有，则为 - 1,set presentation display id
获取与此JRadioButtonMenuItem关联的可访问上下文,getAccessibleContext
设置水平滚动条显示策略,setHorizontalScrollBarPolicy
这会在主图层下方绘制一个阴影图层，具有指定的偏移量和颜色以及模糊半径,set shadow layer
返回此设备或配置文件所有者设置的允许的辅助服务列表,get permitted accessibility services
将输入图像排队返回图像编写器，以供下游消费者访问,queue input image
以独占模式开始事务,begin transaction with listener
当 drm 框架发送有关 drm 处理请求的信息时调用,on event
创建绑定到此活动的拖放权限 compat 对象并控制与拖动事件关联的内容的访问权限,request drag and drop permissions
发送恢复取消暂停媒体播放的请求,resume
以字符串表示形式返回颜色空间变换,to string
请参阅 fstatvfs2,fstatvfs
将文件路径解码为位图,decode file
阻止打印作业,block
视图旋转和缩放所围绕的点的 y 位置,get pivot y
删除观察者。,removeTileObserver
通知此连接用户是否希望继续处理拨号后 dtmf 代码,on post dial continue
取消动画,cancel
将指定参数设置为给定的 java.sql.Timestamp值。,setTimestamp
设置解析数字时最大指数位数,set parse max digits
设置模型的最小属性,setMinimum
此方法指示bean不应使用Gui。,dontUseGui
聚焦单选按钮的颜色。,focusColor
从流中读取两个字节，并且（概念上）根据当前字节顺序连接它们，将结果值转换为 int ，用 0xffff屏蔽它以剥离任何符号扩展名但是，并将结果作为unsigned返回价值 int 。,readUnsignedShort
返回与该对象关联的订阅 ID,get subscription id
返回当前播放参数,get playback params
包含真实UI的向量。,uis
获取与此活动的列表视图关联的列表适配器,get list adapter
如果芯片组支持多广告，则返回 true,is multiple advertisement supported
返回名称（如有必要，添加引号）、括号中的注释以及尖括号中的地址。,to string
检查 ui 元素的 checkable 属性当前是否为 true,is checkable
返回颜色 int 的 alpha 分量,alpha
key event.callback.on key up 的默认实现：当 keycode dpad center 、 keycode Enter 或 keycode space 释放时执行视图的单击,on key up
为客户提供一种构建间隔模式的方法,set interval pattern
返回指定项在数组中的位置,get position
对光栅执行卷积,filter
将 ItemListener添加到模型中。,addItemListener
将此运算符应用于给定的操作数。,applyAsLong
此方法已被弃用。操作栏导航模式已被弃用，并且内联工具栏操作栏不支持操作栏导航模式。考虑使用其他常见的导航模式,get tab at
将双数组包装到缓冲区中。,wrap
返回辅助操作对象适配器,get secondary actions adapter
返回共享的流项目数,get stream count
以交错形式返回每个轴的设计限制数组,getDesignAxisRanges
返回行是否可以被选中,getRowSelectionAllowed
请求查明本地设备上已缓冲了多少媒体,on get buffer percentage
返回开始后的下一个偏移量，但小于或等于指定类型的跨度开始或结束的限制,next span transition
使用“data”方案 url 将给定数据加载到此 Web 视图中,load data
返回此包中的 top-level类和接口。,getEnclosedElements
发送请求以从队列中删除媒体项,remove
返回一个组合的 LongConsumer ，它按顺序执行此操作，然后执行 after操作。,andThen
将指定参数设置为 Reader对象。,setNCharacterStream
回收分离视图,recycle view
如果在计算项目对齐偏移时包括填充，则返回 true,is item alignment offset with padding
返回一个 Type对象的数组，表示此类型变量的上限。,getUpperBounds
增加此多重操作当前代表的索引,increment index
如果每秒获取漂移纳秒可用，则返回 true ，否则返回 false,has drift nanos per second
在配置数据库连接时调用，以启用预写日志记录或外键支持等功能。,on configure
可以同时从图像写入器出列的最大图像数，例如，使用出列输入图像,get max images
从给定容器恢复此首选项层次结构先前保存的状态,restore hierarchy state
获取表格单元格渲染器组件,getCurrentComponent
查看活动已停止,on activity stop
